HM_Si,O2_Blow,BLOW_LIME_MATWEIGHT_Combined,BLOW_IRONOR_MATWEIGHT_Combined,BLOW_DOLO_MATWEIGHT_Combined,BIN2_RELATIVE_LANCE_HEIGHT,BIN3_RELATIVE_LANCE_HEIGHT,Delta_Carbon_Weight,BIN2_SECVENTURIOPENING,HM Temp_Combined,RefractoryLife_Combined,Delta_HM_Bath_Temp,ACTOXYGENMOMENT_DOLO,PreviousHeat_BathTemp,HM_Weight,Total_Scrap,loss_radiation_hm,loss_convection_hm,loss_radiation_vessel,loss_convection_vessel
0.5,14729,17137,9503,4599,239.229,236.75,14771.17592,30.604,1377,2955,302,8343,1667,305,25.25,1.41E+15,533119.7537,6.26E+15,1334587.216
0.45,16143,19114,6596,5398,259.7,253.099,15198.4418,22.638,1343,855,369,1380,1660,313,26.6,1.40E+14,56600.49224,1.04E+16,2233861.24
0.48,14622,18627,6701,4121,241.688,240.821,14167.21976,27.375,1345,2959,332,2486,1605,290,26.6,7.20E+13,28895.83661,2.50E+16,5932446.344
0.47,15620,19726,11007,4792,247.969,241.044,15162.99508,50.804,1389,868,286,5828,1709,310,24.85,3.72E+12,1347.195254,1.59E+16,3106549.938
0.56,16090,21442,8891,5397,272.27,252.363,15022.61788,29,1342,2969,342,1199,1698,307,26.25,1.33E+14,53879.51068,3.42E+16,6878370.058
0.65,15248,19909,10803,4198,253.021,240.868,14731.0723,35.229,1385,2985,288,839,1680,302,25.35,3.50E+14,129415.27,3.13E+16,6510310.948
0.64,14404,20102,12013,4171,248.303,239.25,14488.63904,36.362,1381,2987,289,2865,1690,297,26.05,2.07E+14,77510.72542,5.45E+16,11144009.78
0.78,15441,21589,12026,6116,241.127,250.21,14495.214,28.417,1357,907,315,1768,1692,306,25,3.39E+13,13330.37586,9.97E+16,20300235.94
0.79,15418,19895,13057,6771,240.082,240.988,14582.473,33.234,1325,909,314,3811,1684,307,25,3.08E+13,12892.58305,1.17E+16,2390084.976
0.82,14947,22405,13105,5257,233.548,241.965,14635.15296,29.292,1320,936,382,1432,1695,298,11.25,1.50E+15,639747.7505,1.28E+16,2595618.277
0.72,14154,18824,14984,6648,239.34,239.885,14597.55984,28.604,1380,946,264,2187,1652,300,26.75,2.18E+13,8117.659322,4.95E+15,1079669.149
0.67,14582,21051,14992,6681,245.736,251.802,14710.64136,29.583,1365,947,303,1466,1685,303,26.1,7.64E+13,29403.56305,7.50E+15,1541892.366
0.85,14690,22842,15080,6671,249.986,248.769,15113.96224,26.021,1390,948,282,1473,1661,312,25.7,1.08E+14,39437.63085,5.31E+15,1136818.557
0.8,15056,22860,12060,6670,235.195,247.32,14870.25132,35.792,1402,952,262,1372,1635,307,25.5,1.74E+14,61900.31638,1.26E+16,2844924.701
0.72,15217,21261,14261,7253,239.402,241.967,14840.90132,31.592,1363,953,285,1287,1682,307,24.6,2.48E+14,96232.50621,6.29E+15,1301591.716
0.75,15014,21669,15993,6746,253.299,257.195,14803.4486,31.021,1410,955,286,1485,1662,302,24.95,1.66E+14,58158.67424,7.10E+15,1523128.16
0.71,14415,22282,17061,6234,256.34,239.32,14618.7776,34.592,1385,957,275,1227,1663,300,25.7,1.91E+14,70775.83067,1.00E+16,2150125.362
0.87,15062,21534,14833,6933,240.54,241.349,14641.94312,27.104,1360,970,308,3174,1680,301,26.35,4.79E+13,18632.0922,7.07E+15,1465686.344
1.25,14931,26000,17506,6202,239.248,249.234,14364.0068,30.625,1390,972,264,2799,1665,299,26,6.35E+13,23173.1675,4.71E+15,1003356.37
1.14,14421,23821,18020,6359,242.186,240.29,14365.77284,30.896,1424,973,261,1628,1650,297,26.55,1.56E+14,53008.32276,5.12E+15,1119077.129
0.79,15615,20280,18444,5145,245.853,240.69,14951.34976,35.438,1402,978,290,1453,1686,312,24.8,9.27E+13,32684.74909,8.65E+15,1761660.991
0.89,14778,22669,16212,7158,252.769,241.49,14900.11318,29.5,1409,983,267,1437,1640,305,25.55,3.15E+13,10992.47051,3.78E+16,8377304.331
0.83,14876,22239,16295,5195,254.208,248.083,14938.601,31.771,1414,984,295,1442,1664,305,25.75,1.64E+14,56588.09397,4.05E+15,861614.7599
0.86,14933,23302,16830,5120,244.24,246.053,14934.58024,32.521,1417,985,269,1453,1688,305,24.9,1.09E+14,37660.55644,1.32E+16,2707473.985
0.7,15453,15671,15208,7157,247.678,241.451,15019.34608,31.167,1411,986,260,6177,1676,305,27.7,1.15E+14,40018.60407,5.42E+15,1130613.25
0.64,14242,17119,15032,6179,249.47,250.129,14818.6365,29.542,1389,987,270,2724,1674,303,24.75,1.45E+14,53002.31936,1.76E+16,3676769.866
0.63,15754,19620,15600,8569,250.846,248.724,14455.6073,32.833,1405,988,258,1915.5,1669,295,25.95,2.22E+14,78300.75508,7.68E+15,1620522.924
0.55,15355,19877,13582,6259,240.791,235.796,15171.6292,38.388,1392,992,290,4670,1630,309,24.6,2.25E+14,81534.20339,1.50E+16,3397007.945
0.56,14601,19123,11028,6456,242.386,234.811,14623.00096,36.75,1426,993,260,1498,1655,299,25,1.94E+14,65549.80068,5.55E+15,1201079.051
0.52,14829,19178,10265,6965,241.594,239.24,14800.80994,32.771,1344,994,327,1574,1677,303,25.55,6.20E+13,24978.26483,3.98E+15,829866.3224
0.66,15387,20316,13090,6716,244.157,237.129,15126.28228,36.542,1370,996,308,1495,1636,307,24,1.55E+14,59091.73448,1.08E+16,2430644.433
