HM_Si,O2_Blow,BLOW_LIME_MATWEIGHT_Combined,BLOW_IRONOR_MATWEIGHT_Combined,BLOW_DOLO_MATWEIGHT_Combined,BIN2_RELATIVE_LANCE_HEIGHT,BIN3_RELATIVE_LANCE_HEIGHT,Delta_Carbon_Weight,BIN2_SECVENTURIOPENING,HM Temp_Combined,RefractoryLife_Combined,Delta_HM_Bath_Temp,ACTOXYGENMOMENT_DOLO,PreviousHeat_BathTemp,HM_Weight,Total_Scrap,loss_radiation_hm,loss_convection_hm,loss_radiation_vessel,loss_convection_vessel
0.58,15264,17158,10630,4877,243.897,250.424,14509.25544,33.042,1362,442,312,3524.5,1669,301,26,34400000000000,13369,26400000000000000,5595501
0.56,15040,15629,13950,6864,251.503,256.44,14792.86512,35.979,1389,446,282,2227,1649,310,25.6,316000000000000,115080,11400000000000000,2481677
0.53,14619,15651,11352,5502,244.358,251.132,14230.17466,38.592,1374,447,313,2955,1658,298,25.35,349000000000000,131085,6290000000000000,1349009
0.52,15211,15661,10361,6746,247.732,247.218,14304.29312,33.667,1354,449,311,2359,1657,300,25.9,376000000000000,147391,5860000000000000,1257474
0.58,14174,15740,10533,5179,252.508,249.3,13846.362,33.667,1430,1468,269,2461,1646,298,19.15,318000000000000,105697,108000000000000000,23570428
0.73,15075,18032,12608,4202,243.133,251.458,14417.71474,31.854,1362,1470,311,1461,1720,303,19.35,265000000000000,101820,9270000000000000,1780472
0.82,14835,18872,13435,4201,232.383,237.594,14595.39336,33.104,1391,1472,315,1869,1655,304,30.55,266000000000000,96075,8890000000000000,1915798
0.58,13964,16481,14015,5575,252.258,238.4,14279.1542,36.708,1392,1473,267,8202.5,1705,297,27.1,33800000000000,12233,64800000000000000,12812573
0.65,14801,18063,10052,4420,244.753,237.907,13935.22712,37.208,1371,452,319,995,1640,290,24.65,102000000000000,38822,69400000000000000,15421923
0.55,14827,17031,5826,5511,249.711,243.573,13969.64896,26.479,1362,453,322,1272,1661,291,25,55100000000000,21273,9980000000000000,2135452
0.67,14657,18954,13008,4798,240.133,241.729,14292.27476,42.292,1394,1477,315,1474,1712,297,25.45,159000000000000,57293,5810000000000000,1136848
0.57,14587,18945,11974,4782,240.238,235.943,14327.85624,40.417,1353,1478,327,1486,1688,300,25.7,101000000000000,39661,4520000000000000,922057
0.56,14786,18956,12431,4804,240.113,247.8,14530.754,40.813,1375,1479,325,1504,1678,302,26.3,107000000000000,40382,4980000000000000,1035108
0.63,15374,15152,9431,4496,251.034,256.007,14106.14092,39.224,1343,1480,328,1350,1710,300,25.25,68300000000000,27699,63300000000000000,12478568
0.6,14495,15946,14961,4497,253.944,258.007,14028.39828,43.063,1414,1481,252,1487,1709,299,24.9,176000000000000,61056,22000000000000000,4340162
0.58,14438,15944,13052,4510,240.008,249.967,14476.72144,40.458,1356,1483,307,3082,1685,310,26.15,149000000000000,58166,7100000000000000,1454188
0.6,14626,18954,9166,4801,240.154,236.086,14145.89204,39.375,1358,1486,339,1477,1677,299,25.05,241000000000000,94137,8010000000000000,1665421
0.75,14738,20709,15640,4807,236.832,243.5,13907.05458,38.17,1344,1489,319,1446,1660,298,26.45,183000000000000,73281,10700000000000000,2296079
0.75,14502,18960,13174,4812,255.633,248.531,13760.13624,35.146,1354,1491,330,1858,1717,290,25.35,97500000000000,38263,210000000000000000,40723933
0.75,15349,21378,17332,6008,250.05,258.633,14382.39096,34.646,1370,1492,289,2388,1685,304,24.5,88100000000000,33316,31200000000000000,6384970
0.64,15395,20899,14222,4782,239.196,235.037,14000.08136,39.75,1377,1493,312,1965,1679,296,24.2,162000000000000,60248,8880000000000000,1833571
0.45,14980,18665,10686,3281,237.55,241.3,14023.7908,38.438,1370,1500,307,2649,1714,295,24.85,225000000000000,85872,10800000000000000,2101233
0.48,14440,18159,10033,4427,242.094,236.24,13995.9542,36.792,1345,1501,328,2793,1680,298,25.85,471000000000000,189962,41100000000000000,8535910
0.53,14695,14470,9529,3800,239.99,236.169,14097.04664,35.375,1371,1503,294,3294,1680,302,25.25,261000000000000,99157,8460000000000000,1750756
0.4,14599,18157,11036,4514,240.136,240.24,14105.52284,32.833,1357,1504,325,2374,1673,300,26,298000000000000,116543,12700000000000000,2656521
0.47,15305,16108,7028,5447,239.918,242.526,13889.936,41.854,1348,1507,320,2314,1640,297,20.05,195000000000000,77663,26200000000000000,5835400
0.52,15201,17509,11908,5104,236.939,250.328,14528.273,39.521,1350,1508,319,2527,1696,311,20.9,242000000000000,96286,7620000000000000,1533013
0.4,14985,16151,3402,5218,238.788,245.225,13880.23696,28.271,1356,1511,320,1503,1674,294,25.6,199000000000000,78291,9850000000000000,2063614
0.41,14560,14766,11464,5069,245.204,231.457,14046.16974,35.417,1349,1512,319,7461,1700,297,25.75,185000000000000,73857,5930000000000000,1184693
0.44,14930,14146,11087,4487,245.85,239.033,14301.50628,33.5,1360,1513,325,2023,1645,297,31.2,120000000000000,46500,5120000000000000,1127183
0.5,15039,15633,11820,5058,238.267,239.163,14392.0894,31.438,1384,1514,305,1429,1658,301,29.65,58700000000000,21579,64700000000000000,13883837
0.71,14922,21888,12660,4826,240.083,235.917,14210.23032,44.021,1385,1518,305,1016,1672,298,30.9,62600000000000,23023,21700000000000000,4548711
0.63,15102,22389,11858,5178,241.23,235.813,14158.76324,47.673,1380,1519,322,1031,1687,297,30.55,97900000000000,36453,4910000000000000,1005283
0.69,16200,19000,12000,4400,256.845,261.951,14559.34932,36.833,1378,1520,295,1417,1689,304,30.7,159000000000000,59339,5700000000000000,1162253
0.72,15424,18925,13518,4856,243.22,244.641,14092.31416,36.021,1374,1523,306,1391,1641,297,26.8,28500000000000,10775,56900000000000000,12652444
0.8,15138,23144,7563,4549,236.871,245.924,14014.73368,31.063,1415,1529,255,3086.5,1641,298,24.95,52100000000000,18055,439000000000000000,97745579
0.55,14295,18387,10007,3742,248.558,239.191,14059.89734,32.396,1367,1530,325,1654,1686,302,25.15,52400000000000,20103,35800000000000000,7344137
0.45,15614,16181,8991,6291,241.047,242.23,14431.95012,22.542,1340,825,348,2327,1648,300,25.5,193000000000000,78412,101000000000000000,22159606
0.53,13926,18246,12815,5976,240.533,237.811,14442.29742,23,1360,1794,302,2329,1640,299,24.85,92400000000000,35760,71500000000000000,15855377
0.44,14311,15183,10496,6789,240.471,238.882,14516.1232,22.104,1380,1795,275,2722.5,1645,300,25.45,97900000000000,36244,6450000000000000,1415438
0.51,14778,14187,7812,7003,240.487,239.833,14577.56144,20.447,1337,1793,348,2241,1634,300,26.6,201000000000000,81567,4800000000000000,1071914
0.45,14986,19174,8037,6667,241.213,236.943,14466.16864,17.542,1367,827,327,1110,1660,300,26,45400000000000,17226,129000000000000000,27415277
0.48,15773,15186,13463,6340,243.005,242.19,14713.85734,20.292,1362,828,285,1165,1658,305,25.65,107000000000000,40995,6370000000000000,1363375
0.46,14462,15185,9568,7714,240.516,232.783,14624.40912,19.694,1339,1794,326,1961.5,1675,304,25.25,73900000000000,29886,41900000000000000,8709186
